x,y,worn,pupil_diameter_left,eyeball_center_left_x,eyeball_center_left_y,eyeball_center_left_z,optical_axis_left_x,optical_axis_left_y,optical_axis_left_z,pupil_diameter_right,eyeball_center_right_x,eyeball_center_right_y,eyeball_center_right_z,optical_axis_right_x,optical_axis_right_y,optical_axis_right_z,eyelid_angle_top_left,eyelid_angle_bottom_left,eyelid_aperture_left,eyelid_angle_top_right,eyelid_angle_bottom_right,eyelid_aperture_right,timestamp_unix_seconds,pc_timestamp,event
822.7478637695312,420.37579345703125,False,5.181313991546631,-27.9375,9.5625,-49.625,0.05771660804748535,0.3639955520629883,0.9296107292175293,4.74035120010376,35.75,6.90625,-49.71875,-0.4275366961956024,0.33103281259536743,0.8412072658538818,0.031494140625,-0.2464599609375,3.0368432998657227,-0.029693603515625,-0.92236328125,10.094132423400879,1762348862.5179408,1762348862.5556514,0
854.4614868164062,434.57745361328125,False,5.181313991546631,-28.375,9.0625,-49.5625,0.10609845072031021,0.3757903277873993,0.9206110835075378,4.703604221343994,35.375,6.1875,-50.125,-0.3303149342536926,0.3466520309448242,0.8779091238975525,0.05230712890625,-0.186767578125,2.609088659286499,-0.6162109375,-1.3115234375,8.482027053833008,1762348862.5229409,1762348862.559223,0
831.1970825195312,430.6466979980469,False,5.225410461425781,-28.40625,9.375,-50.0625,0.07305551320314407,0.3356364071369171,0.9391545057296753,4.817519664764404,35.375,7.125,-50.09375,-0.35611289739608765,0.31254079937934875,0.88062584400177,0.1104736328125,-0.11358642578125,2.4435997009277344,-0.3701171875,-1.1826171875,9.584421157836914,1762348862.5279408,1762348862.5634258,0
826.2317504882812,432.076171875,False,5.4422173500061035,-28.59375,8.59375,-50.375,0.14375101029872894,0.3457358479499817,0.9272552728652954,4.971856594085693,35.0625,5.59375,-51.75,-0.277048259973526,0.32549813389778137,0.9040438532829285,-0.0016002655029296875,-0.272216796875,2.959319591522217,-0.720703125,-1.294921875,7.060413837432861,1762348862.5329409,1762348862.5680726,0
817.1119995117188,460.79193115234375,False,5.2290849685668945,-27.8125,8.875,-49.8125,0.06528978794813156,0.38482213020324707,0.9206786751747131,4.957158088684082,35.90625,7.03125,-50.03125,-0.38143303990364075,0.3448193669319153,0.8576762080192566,-0.00839996337890625,-0.28125,2.984645128250122,-0.48388671875,-1.310546875,9.968184471130371,1762348862.5379407,1762348862.5735433,0
817.0901489257812,453.3089599609375,False,5.387096881866455,-28.28125,8.9375,-50.65625,0.11938297748565674,0.3429853618144989,0.9317235946655273,4.6668572425842285,35.34375,6.625,-50.0,-0.39213183522224426,0.3171752691268921,0.86350017786026,0.0006499290466308594,-0.266845703125,2.9247450828552246,-0.381103515625,-1.1396484375,8.91757869720459,1762348862.5429409,1762348862.5766678,0
824.5536499023438,446.3831787109375,False,5.320952415466309,-28.1875,9.84375,-50.4375,0.08958306908607483,0.3347162902355194,0.938051164150238,4.622761249542236,35.46875,6.84375,-50.875,-0.3728661835193634,0.30882787704467773,0.874983549118042,0.0149993896484375,-0.248779296875,2.882512331008911,-0.0173797607421875,-0.81689453125,8.969194412231445,1762348862.547952,1762348862.5846121,0
864.5171508789062,452.6033020019531,False,5.427518367767334,-28.0625,9.375,-50.40625,0.04939081147313118,0.32457464933395386,0.9445697069168091,4.762399196624756,35.6875,6.375,-49.5,-0.4059882164001465,0.29579585790634155,0.8646840453147888,0.051300048828125,-0.171142578125,2.4270780086517334,-0.54833984375,-1.2900390625,8.97314167022705,1762348862.5529408,1762348862.588972,0
874.122802734375,447.4588928222656,False,5.37974739074707,-27.96875,9.25,-50.21875,0.10074267536401749,0.33011114597320557,0.9385507702827454,4.997579574584961,35.75,7.125,-51.34375,-0.3629690408706665,0.2985931634902954,0.8826639652252197,0.0127716064453125,-0.26904296875,3.081047534942627,-0.66650390625,-1.2998046875,7.751389026641846,1762348862.5579407,1762348862.5937028,0
830.1712036132812,457.2361755371094,False,5.291554927825928,-27.875,8.625,-51.375,0.02521922066807747,0.3429853618144989,0.9390021562576294,4.7366766929626465,35.84375,6.625,-49.78125,-0.41015633940696716,0.3143954575061798,0.8561117053031921,0.0021991729736328125,-0.27490234375,3.030292272567749,-0.638671875,-1.2275390625,7.133805751800537,1762348862.5629408,1762348862.5988536,0
